,target
0,11.218760013344179
1,79.7002280214704
2,7.494556054654175
3,38.5111166996498
4,64.7564159538636
5,38.49535942086432
6,94.87079841392105
7,97.4469075523024
8,29.629081533823655
9,26.27703680424337
10,96.52785782197418
11,14.330213109270892
12,10.152731188546547
13,51.21303674465906
14,65.0309591876877
15,82.54202414147028
16,35.85743417081792
17,93.07830703694898
18,12.232088500195214
19,65.8177200139552
20,78.09448992814674
21,69.45780627685335
22,21.90935533433894
23,82.69487882506436
24,31.725068342282135
25,17.98046131156486
26,28.479136627044994
27,82.67548203469568
28,90.81540789399403
29,39.99265399385209
30,71.65595612686349
31,71.65078294003683
32,91.87919596674092
33,39.753396255406926
34,54.39169255835053
35,91.15183905333356
36,54.86672588533586
37,13.616056297979933
38,32.12237766046664
39,24.334328797104327
40,21.047979444132157
41,99.51831756960118
42,21.45224939645339
43,11.221994705595476
44,29.23962819783509
45,72.80997540084167
46,26.926503342364825
47,77.81327115376962
48,12.04888714725578
49,96.17054571305968
50,91.52349088165306
51,47.998314524583854
52,43.10744166677757
53,17.05272885955693
54,59.719493357149204
55,28.99332653981949
56,3.3811966317643307
57,68.3518562994503
58,21.874867083120893
59,84.41956429287268
60,70.85664086603165
61,82.81706150406725
62,40.58403213968845
63,63.345056400043944
64,26.220269049736775
65,64.59029291584434
66,13.93844008332999
67,83.94268703744689
68,77.75253944052983
69,53.24415856631949
70,1.8285157707964725
71,60.81303556443061
72,91.14466433373423
73,25.268091603505617
74,45.35212933500346
75,95.58326041765366
76,80.2020531077957
77,49.24439839599312
78,40.94114091125066
79,18.226288354696806
80,29.048659732526353
81,35.489704119529996
82,73.9576268503912
83,1.4135488135730947
84,34.52678375122897
85,49.49103457053743
86,18.076686083163104
87,56.54795817674119
88,60.36904480157024
89,65.89849549549893
90,55.24004081376661
91,4.246614239082298
92,28.35273796989414
93,1.6126496439612623
94,78.03336790710281
95,30.700145277679592
96,4.634545416622541
97,20.924158597717053
98,58.12148691519985
99,13.762349082654335
100,63.28281993133931
101,76.37387298799172
102,45.01499266177375
103,20.211159925853874
104,50.83266157885377
105,91.84315493872438
106,88.4580222586101
107,47.16436970442022
108,40.0326995039487
109,95.10387680605956
110,92.54944732126839
111,82.10164996810715
112,40.00550782455195
113,63.68559384257201
114,26.609038281287784
115,1.7306114875674858
116,18.14342364460763
117,90.54253450817598
118,26.61104977513235
119,95.65418934391619
120,15.503779979542038
121,18.307461575727974
122,45.38534834551012
123,82.7919688490492
124,94.41024969420366
125,83.66621439867333
126,10.507361875258658
127,34.75419644728458
128,63.532514351099216
129,3.303138675888517
130,69.79420927455172
131,43.97880938609654
132,86.83319039583839
133,38.88321349082714
134,85.51354501986742
135,93.57338185842414
136,82.8065712153282
137,41.79950765588497
138,91.94460572883489
139,18.769436222215266
140,72.78079819500596
141,78.13405517009386
142,99.72203917036751
143,90.35530458449611
144,64.81080649256353
145,55.11312283037104
146,55.664909189991285
147,70.55317716985095
148,12.692123154580056
149,37.24990005105659
150,40.82159821103222
151,5.827681972032932
152,37.74217156497214
153,89.09359577900622
154,23.42649128784974
155,18.822076450699033
156,70.6145483659418
157,53.39402327543256
158,83.48166325609793
159,83.54230835833965
160,67.85943705665295
161,57.491080958413995
162,98.26469951358425
163,63.522363640717906
164,50.59319911750868
165,50.084286074159166
166,39.534100437912564
167,73.51524695853175
168,94.24796285624126
169,13.166820667610441
170,20.71794843713346
171,36.44591200031493
172,17.190140311494886
173,14.611445005006813
174,85.61790489672507
175,71.63127951670441
176,84.05095433177928
177,83.46481101413733
178,95.75642659769653
179,5.619550439670414
180,21.80830314189589
181,34.839225772525154
182,4.076050822101735
183,56.43123685011669
184,36.77532188772867
185,17.361413429430137
186,90.74709455803918
187,12.968533577847888
188,9.67630282746129
189,91.78955954847535
190,29.762991332917544
191,23.76452210838749
192,78.16837688100568
193,24.933754966037913
194,65.60717708954985
195,40.65746437108146
196,95.59491630986508
197,54.31121600810961
198,33.761598391058335
199,26.951189260736847
200,2.951872048197028
201,52.185888426846425
202,25.039719735914534
203,62.87040837997831
204,28.33480207573341
205,6.098376602650837
206,23.983550739770017
207,88.40633509064858
208,3.7427108993177836
209,73.17584899558867
210,54.149562378500114
211,98.02899122942972
212,51.89392674533854
213,15.866943161346969
214,86.24485738664745
215,71.45365772347805
216,1.1423123248833362
217,14.439691422576542
218,34.5914652236842
219,77.31272840843235
220,5.687793904287631
221,64.57526911610853
222,78.34476717440023
223,95.73061845194923
224,57.53091787029388
225,70.64787458022315
226,40.165756157898954
227,85.70676083218657
228,6.998589494470301
229,78.51522514483625
230,10.32779127997845
231,17.588753136663524
232,2.8286725098544103
